timestamp,hostname,empresa_id,servidor_id,mac_address,ip,cpu,ram,disco,health_score,status_cpu,status_ram,status_disco,temp_max_cpu,status_temperatura,margem_termica,status_margem,temperatura_ambiente,clima,umidade,fan_principal_rpm,indice_resfriamento,status_resfriamento,throttling,bytes_recv,bytes_sent,pack_recv,pack_sent,packet_loss_internet,latency_min_ms,latency_avg_ms,latency_max_ms,lat_adsb_rastreamento,lat_rastreamento_correlacao,lat_correlacao_rotas,lat_rotas_api,lat_api_bd,lat_bd_sync,rastreamento_mbps,rotas_mbps,correlacao_mbps,api_gateway_mbps,bd_mbps,sync_service_mbps,rastreamento_loss,correlacao_loss,rotas_loss,api_loss,bd_loss,sync_loss,opensky_timestamp,total_aeronaves,avg_adsb_update_seconds
2026-05-27 17:14:29,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,96.5,81.3,66.3,59.38,critico,alerta,estavel,77.3,alerta,12.7,moderada,29.52,chuvoso,36,3079,44.2,ruim,NAO,605818806,35502327,361240,353483,2.7,2.6,49.93,141.5,56.06,52.49,89.27,43.84,97.1,41.93,71.7,48.86,78.86,75.78,25.15,89.86,0.13,0.81,0.8,0.07,0.62,0.12,1779912869,459,37.18
2026-05-28 10:02:41,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,91.0,89.8,26.0,67.45,critico,alerta,estavel,51.2,normal,38.8,boa,25.35,ensolarado,79,1970,98.6,boa,NAO,69367971,77668225,451212,236206,1.49,6.67,43.13,133.77,96.67,78.94,62.67,18.13,38.61,68.02,99.53,77.04,92.86,65.3,73.39,33.28,0.3,0.48,0.93,0.79,0.38,0.83,1779973361,249,20.88
2026-05-22 01:07:08,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,40.6,48.8,77.5,75.71,estavel,estavel,estavel,42.6,normal,47.4,excelente,23.03,ensolarado,47,3344,75.1,boa,NAO,407292073,86562384,476854,162678,0.49,4.11,50.46,81.52,44.2,95.68,45.45,15.15,10.9,13.6,77.18,94.58,94.57,96.54,53.95,92.05,0.39,0.97,0.39,0.72,0.12,0.97,1779422828,91,32.8
2026-05-24 18:55:53,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,25.9,32.3,67.1,79.36,estavel,estavel,estavel,45.7,normal,44.3,excelente,24.61,parcialmente nublado,33,1923,59.1,moderada,NAO,761482135,467306479,163092,200139,1.84,9.39,39.75,126.06,62.7,11.29,35.02,39.96,83.3,49.95,34.35,33.25,58.09,15.73,46.77,24.36,0.11,0.62,0.31,0.34,0.16,0.32,1779659753,349,22.69
2026-05-28 02:11:18,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,71.8,35.7,35.1,66.8,alerta,estavel,estavel,90.1,critica,-0.1,ruim,16.98,parcialmente nublado,46,4367,45.6,ruim,SIM,804934733,329586203,122516,409127,1.01,5.57,55.95,101.17,21.86,61.9,22.59,47.25,72.04,10.42,56.03,14.03,99.4,27.33,58.03,88.49,0.98,0.89,0.4,0.78,0.44,0.92,1779945078,362,31.0
2026-05-24 09:34:59,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,72.1,81.5,23.0,66.83,alerta,alerta,estavel,71.4,alerta,18.6,moderada,23.45,parcialmente nublado,84,2556,57.0,moderada,NAO,686332153,459027393,221716,167187,2.24,4.77,43.1,155.66,37.04,77.34,20.25,10.22,66.92,15.6,76.95,42.75,65.46,82.06,80.61,35.67,0.13,0.33,0.27,0.84,0.9,0.19,1779626099,392,54.32
2026-05-23 07:47:37,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,47.8,69.2,10.4,76.91,estavel,estavel,estavel,47.1,normal,42.9,excelente,33.96,nublado,57,2832,44.8,ruim,NAO,570966608,127434783,424674,349295,1.5,7.41,57.46,160.87,86.78,51.06,19.01,82.97,40.34,24.25,68.61,72.14,70.63,47.46,53.71,87.27,0.21,0.36,0.48,0.91,0.58,0.25,1779533257,148,38.65
2026-05-26 13:40:04,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,78.5,42.5,59.0,73.23,alerta,estavel,estavel,41.4,normal,48.6,excelente,14.34,parcialmente nublado,89,3899,65.9,moderada,NAO,145214576,212462854,381120,124559,1.5,3.46,31.13,71.61,44.72,65.25,48.86,99.19,77.23,27.48,57.6,47.11,21.02,99.01,88.48,31.59,0.89,0.39,0.29,0.15,0.46,0.84,1779813604,373,24.71
2026-05-27 01:13:16,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,58.9,60.5,81.3,63.05,estavel,estavel,alerta,87.2,critica,2.8,ruim,25.6,parcialmente nublado,66,2150,80.5,boa,NAO,101035445,228633066,299079,275079,2.78,2.23,15.7,196.76,47.16,83.4,60.96,33.56,89.38,63.17,29.24,82.55,80.31,18.32,17.5,20.74,0.18,0.49,0.22,0.49,0.01,0.3,1779855196,174,37.06
2026-05-25 07:32:57,NeithaNitro,1,1,80:30:49:0c:87:29,192.168.56.1,85.6,57.2,59.9,63.45,alerta,estavel,estavel,78.2,alerta,11.8,moderada,13.9,nublado,92,3160,53.8,ruim,NAO,94208906,102909032,322042,446890,2.14,2.81,46.92,101.59,67.18,60.11,68.39,94.42,71.86,36.64,13.31,61.44,52.21,64.51,98.36,82.46,0.75,0.2,0.71,0.18,0.83,0.31,1779705177,73,57.41
