timestamp,hostname,empresa_id,servidor_id,mac_address,ip,cpu,ram,disco,health_score,status_cpu,status_ram,status_disco,temp_max_cpu,status_temperatura,margem_termica,status_margem,temperatura_ambiente,clima,umidade,fan_principal_rpm,indice_resfriamento,status_resfriamento,throttling,bytes_recv,bytes_sent,pack_recv,pack_sent,packet_loss_internet,latency_min_ms,latency_avg_ms,latency_max_ms,lat_adsb_rastreamento,lat_rastreamento_correlacao,lat_correlacao_rotas,lat_rotas_api,lat_api_bd,lat_bd_sync,rastreamento_mbps,rotas_mbps,correlacao_mbps,api_gateway_mbps,bd_mbps,sync_service_mbps,rastreamento_loss,correlacao_loss,rotas_loss,api_loss,bd_loss,sync_loss,opensky_timestamp,total_aeronaves,avg_adsb_update_seconds,label_24h,label_3d,label_7d
2026-05-23 23:50:59,Server-5,4,5,de:89:c0:05:be:8f,192.168.82.145,82.0,99.8,80.0,12.73,alerta,critico,alerta,47.1,normal,47.9,excelente,31.59,céu limpo,93,2781,79.9,excelente,SIM,268612116,154326299,199860,761862,3.01,15,22.4,92,13.41,55.64,87.94,77.64,92.04,69.84,15.1,20.7,29.21,26.85,16.42,18.36,2.49,0.71,2.05,0.73,0.72,0.52,1970-01-01 00:00:01.789800337,122,32.62,23:50,23/05 23h,23/05
2026-05-23 23:51:59,Server-7,5,18,ee:9d:47:61:bb:5b,192.168.232.206,38.1,70.7,30.0,53.73,estavel,estavel,estavel,85.1,critica,9.9,boa,21.24,nublado,65,3491,89.7,ruim,SIM,676222371,123150796,184069,106699,4.62,16,44.3,112,56.16,89.57,33.76,99.63,28.88,31.74,32.36,1.48,39.82,27.42,13.73,11.54,2.86,0.65,1.5,0.67,1.08,2.7,1970-01-01 00:00:01.719152049,47,31.7,23:51,23/05 23h,23/05
2026-05-23 23:52:59,Server-9,4,8,39:76:e3:40:6b:6e,192.168.26.251,97.2,22.0,69.0,37.27,critico,estavel,estavel,68.0,alta,27.0,excelente,34.38,chuva leve,38,3578,43.2,excelente,SIM,765775701,686734762,597934,475124,2.9,16,43.3,145,88.39,37.96,80.06,20.81,16.48,81.22,19.23,11.57,23.78,43.63,45.07,3.69,2.76,2.22,2.13,2.89,0.31,0.21,1970-01-01 00:00:01.750438689,21,5.32,23:52,23/05 23h,23/05
2026-05-23 23:53:59,Server-2,1,4,e7:46:a2:e3:b9:aa,192.168.223.3,88.0,42.6,32.8,45.53,alerta,estavel,estavel,87.4,normal,7.6,boa,32.03,chuva forte,52,4053,93.5,ruim,NAO,647218290,167932925,479083,410521,4.37,30,53.6,82,78.41,71.68,22.86,18.51,31.37,29.34,16.25,32.44,1.49,34.45,6.51,34.24,1.56,2.12,0.75,0.27,1.38,2.72,1970-01-01 00:00:01.701044994,57,13.23,23:53,23/05 23h,23/05
2026-05-23 23:54:59,Server-1,4,11,cc:af:8d:1f:0c:72,192.168.197.190,48.9,54.5,51.8,48.27,estavel,estavel,estavel,41.5,normal,53.5,ruim,15.96,chuva leve,97,4337,59.7,moderada,SIM,542635694,661766087,246807,634065,1.89,16,77.7,185,64.59,70.46,26.33,64.27,25.49,21.32,49.03,49.13,7.31,38.11,14.39,14.91,1.48,0.07,0.93,1.35,0.32,1.1,1970-01-01 00:00:01.792093629,157,19.31,23:54,23/05 23h,23/05
2026-05-23 23:55:59,Server-1,4,4,08:64:09:af:bb:5e,192.168.43.219,85.3,16.4,32.7,55.2,alerta,estavel,estavel,45.0,critica,50.0,excelente,28.22,chuva forte,66,3125,56.8,boa,SIM,714196220,648583427,315539,242352,1.14,22,64.5,97,36.5,80.08,55.66,56.14,44.14,63.3,16.55,6.46,14.78,43.23,9.51,27.78,1.25,0.03,2.8,0.41,0.02,2.18,1970-01-01 00:00:01.764278514,62,23.73,23:55,23/05 23h,23/05
2026-05-23 23:56:59,Server-1,3,3,c5:95:49:40:d4:9b,192.168.97.124,76.8,17.0,53.7,50.83,alerta,estavel,estavel,41.6,critica,53.4,excelente,22.98,chuva forte,82,3296,45.0,boa,NAO,544474931,471044606,765920,143422,0.99,28,28.9,126,96.97,92.17,49.94,58.34,84.96,46.62,26.27,20.87,21.04,36.78,48.19,30.01,2.84,0.54,1.86,2.16,0.14,1.77,1970-01-01 00:00:01.712187534,461,57.05,23:56,23/05 23h,23/05
2026-05-23 23:57:59,Server-4,5,5,a2:e8:54:e4:78:54,192.168.19.43,57.2,85.9,52.6,34.77,estavel,alerta,estavel,40.7,alta,54.3,boa,29.19,céu limpo,85,4028,64.0,boa,NAO,125735094,777549878,489055,136306,2.19,30,44.3,103,15.14,72.06,57.42,23.16,72.74,21.09,23.8,46.7,34.4,29.17,27.28,33.82,1.48,2.56,0.8,0.49,0.76,1.67,1970-01-01 00:00:01.777694244,114,19.73,23:57,23/05 23h,23/05
2026-05-23 23:58:59,Server-9,1,10,31:42:74:00:ad:95,192.168.74.48,92.1,28.6,43.0,45.43,critico,estavel,estavel,59.1,normal,35.9,ruim,29.12,céu limpo,36,1965,63.3,boa,NAO,659633857,518268653,160392,525124,2.68,8,22.9,131,48.6,89.84,99.86,24.22,87.18,49.18,44.55,24.56,28.72,49.5,31.47,1.29,1.69,0.12,0.38,2.63,1.4,0.98,1970-01-01 00:00:01.702521557,42,50.69,23:58,23/05 23h,23/05
2026-05-23 23:59:59,Server-7,4,13,a8:d6:a8:f9:f2:52,192.168.228.66,65.3,98.0,91.5,15.07,estavel,critico,alerta,44.9,normal,50.1,ruim,33.07,céu limpo,93,3326,66.5,moderada,NAO,418828549,851759801,167856,509942,1.26,17,33.7,144,76.32,67.01,89.8,44.84,99.31,57.64,21.91,10.35,25.87,24.62,49.26,40.69,2.25,2.54,1.88,1.34,2.52,0.71,1970-01-01 00:00:01.755528627,492,20.58,23:59,23/05 23h,23/05
