timestamp,cpu_percent,memory_available_gb,disk_usage_percent,swap_percent,iowait_percent,active_processes,net_bytes_sent,net_bytes_recv,latency_ms,packet_loss_percent,throughput_mbps,failed_connections,proc_adsb_cpu,proc_route_cpu,proc_db_cpu,active_flights,aircraft_connected,aircraft_broadcast_failures,routes_active,routes_without_update,adsb_update_rate,incident_count,incident_severity,recovery_time_minutes,uptime_percent,tickets_sold,passengers_impacted,delayed_flights,cancelled_flights,estimated_revenue_loss_brl,estimated_operational_cost_brl
2026-03-01 00:00:00,53.24,11.95,60.02,5.08,5.87,236,172093596,214220025,59.76,0.9,153.35,12,19.18,13.94,6.51,81,79,3,90,7,97.53,0,Low,0,100,13255,1171,6,0,89922.02,0.0
2026-03-01 01:00:00,59.37,11.07,60.04,5.18,5.34,233,181617991,203199089,64.64,1.1,214.44,10,19.14,9.05,6.3,86,79,5,123,10,96.23,0,Low,0,100,11176,1519,9,1,404374.13,0.0
2026-03-01 02:00:00,51.98,12.3,60.07,5.25,3.45,245,114310262,112960418,54.26,0.79,100,2,14.54,11.8,9.7,90,85,2,108,6,98.96,0,Low,0,100,8538,834,6,1,292353.35,0.0
2026-03-01 03:00:00,51.29,12.49,60.11,5.32,5.56,228,141813776,145166557,50.97,0.19,146.35,3,13.81,14.07,10.04,82,78,0,121,0,99.74,0,Low,0,100,12471,0,0,0,0.0,0.0
2026-03-01 04:00:00,47.59,12.91,60.13,5.39,3.72,210,97623134,113581422,52.28,0.81,102.58,11,16.88,11.37,9.03,77,73,1,107,7,97.07,0,Low,0,100,13021,971,7,1,436284.8,0.0
2026-03-01 05:00:00,63.18,11.23,60.16,5.48,3.51,198,196662690,205409934,62.95,0.98,197.65,11,23.84,10.98,11.51,96,93,5,119,5,98.89,0,Low,0,100,15335,1351,9,0,240159.19,0.0
2026-03-01 06:00:00,79.83,11.16,60.2,5.58,6.15,241,410472839,436311903,76.02,0.89,346.16,16,26.15,22.38,9.26,152,151,2,189,6,97.14,0,Low,0,100,23950,2584,12,1,306139.09,0.0
2026-03-01 07:00:00,65.14,10.76,60.22,5.68,3.76,247,296490667,342199791,55.13,0.04,253.94,0,18.76,14.44,6.88,127,124,0,151,0,99.93,0,Low,0,100,13826,0,0,0,0.0,0.0
2026-03-01 08:00:00,72.6,11.2,60.25,5.78,5.93,211,166035915,238003115,66.87,0.44,176.19,2,20.85,18.95,7.66,149,137,0,213,2,99.14,0,Low,0,100,23801,564,4,0,70111.17,0.0
2026-03-01 09:00:00,77.33,10.81,60.28,5.88,3.78,235,295675397,419801433,65.55,0.35,324.6,7,22.94,11.76,9.53,155,151,1,202,2,99.61,0,Low,0,100,27274,368,3,0,84547.82,0.0
