timestamp_coleta,numero_voo,status,origem,destino,delay_origem,delay_destino
2026-05-21 14:41:39,MU4985,active,Aeroporto Internacional Guarulhos,Barajas,,10
2026-05-21 14:41:39,KU6041,active,Aeroporto Internacional Guarulhos,Barajas,,10
2026-05-21 14:41:39,HU8222,active,Aeroporto Internacional Guarulhos,Barajas,,10
2026-05-21 14:41:39,EY4399,active,Aeroporto Internacional Guarulhos,Barajas,,10
2026-05-21 14:41:39,ET1251,scheduled,Aeroporto Internacional Guarulhos,Tancredo Neves International Airport,,
2026-05-21 14:41:39,CM7065,scheduled,Aeroporto Internacional Guarulhos,Tancredo Neves International Airport,,
2026-05-21 14:41:39,AV4334,scheduled,Aeroporto Internacional Guarulhos,Tancredo Neves International Airport,,
2026-05-21 14:41:39,TP4108,active,Aeroporto Internacional Guarulhos,Val De Cans,,
2026-05-21 14:41:39,AR7709,scheduled,Aeroporto Internacional Guarulhos,Aeroparque Jorge Newbery,,
2026-05-21 14:41:39,QR5226,scheduled,Aeroporto Internacional Guarulhos,Luis Eduardo Magalhaes,,
2026-05-21 14:41:39,QR5147,scheduled,Aeroporto Internacional Guarulhos,Guararapes International,,
2026-05-21 14:41:39,AR8202,scheduled,Aeroporto Internacional Guarulhos,Guararapes International,,
2026-05-21 14:41:39,TP5838,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,SA2320,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,ET4170,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,CM3569,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,AV2614,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,AR7515,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,AF1908,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,TP5350,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,ET1266,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,AV4351,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,AD4671,scheduled,Aeroporto Internacional Guarulhos,Salgado Filho,,
2026-05-21 14:41:39,UA148,scheduled,Aeroporto Internacional Guarulhos,Newark Liberty International,,
2026-05-21 14:41:39,AC97,scheduled,Aeroporto Internacional Guarulhos,Pierre Elliott Trudeau International,,
2026-05-21 14:41:39,TP94,scheduled,Aeroporto Internacional Guarulhos,Francisco Sá Carneiro,,
2026-05-21 14:41:39,TP88,scheduled,Aeroporto Internacional Guarulhos,Lisbon Portela,,15
2026-05-21 14:41:39,LA3378,scheduled,Aeroporto Internacional Guarulhos,Guararapes International,,22
2026-05-21 14:41:39,LA3368,scheduled,Aeroporto Internacional Guarulhos,Galeao Antonio Carlos Jobim,,22
2026-05-21 14:41:39,DL226,cancelled,Aeroporto Internacional Guarulhos,John F Kennedy International,,
2026-05-21 14:41:39,AR1251,scheduled,Aeroporto Internacional Guarulhos,Aeroparque Jorge Newbery,,
2026-05-21 14:41:39,QR780,scheduled,Aeroporto Internacional Guarulhos,Doha International,,
2026-05-21 14:41:39,LA3452,scheduled,Aeroporto Internacional Guarulhos,Palmares,,22
2026-05-21 14:41:39,QR5247,scheduled,Aeroporto Internacional Guarulhos,Aeroparque Jorge Newbery,,
2026-05-21 14:41:39,QR7271,scheduled,Aeroporto Internacional Guarulhos,Presidente Juscelino Kubitschek,,
2026-05-21 14:41:39,TP4206,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,AR7508,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,UX2322,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,TP5842,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,CM3752,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,AV2625,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,AR7519,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,QR5251,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,QR5192,scheduled,Aeroporto Internacional Guarulhos,Aeroporto Municipalcipal Chapeco,,
2026-05-21 14:41:39,TP5830,scheduled,Aeroporto Internacional Guarulhos,Luis Eduardo Magalhaes,,
2026-05-21 14:41:39,CM3742,scheduled,Aeroporto Internacional Guarulhos,Luis Eduardo Magalhaes,,
2026-05-21 14:41:39,AR7585,scheduled,Aeroporto Internacional Guarulhos,Luis Eduardo Magalhaes,,
2026-05-21 14:41:39,AM8055,scheduled,Aeroporto Internacional Guarulhos,Luis Eduardo Magalhaes,,
2026-05-21 14:41:39,QF3913,scheduled,Aeroporto Internacional Guarulhos,Arturo Merino Benitez,,
2026-05-21 14:41:39,DL6301,scheduled,Aeroporto Internacional Guarulhos,Arturo Merino Benitez,,
